timestamp_s,src_ip,dst_ip,src_port,dst_port,protocol,queue_depth_bytes,tx_link_util_0_255,flow_hash,datetime_iso,load_percent,time_sec,probes_per_sec,total_probes,overhead,fct_ms,flow_size_bytes,flow_type,flow_cat
35.713,10.0.104.9,10.0.102.2,59572,80,TCP,0,23,bce3368e,2026-04-11T17:01:36.812831,10,35,4.802,175.82,7.3755e-06,1.1246999999999998,86496.0,small,small
35.788,10.0.100.13,10.0.100.5,18290,8443,TCP,0,20,7bf07e4a,2026-04-11T17:01:36.888426,10,35,4.802,175.82,7.3755e-06,1.04875,129865.0,small,medium
37.349,10.0.100.6,10.0.104.2,42718,5001,TCP,0,13,112cd6ec,2026-04-11T17:01:38.448842,10,37,4.945,185.57,7.5962e-06,27.108900000000002,29073498.0,large,large
37.875,10.0.100.13,10.0.100.2,59700,5001,TCP,0,28,bfb70629,2026-04-11T17:01:38.975161,10,37,4.945,185.57,7.5962e-06,1.1787499999999997,62021.0,small,small
38.763,10.0.102.12,10.0.104.2,20520,443,OTHER,0,24,4b36f4c1,2026-04-11T17:01:39.862852,10,38,5.084,190.66,7.8083e-06,,,,medium
40.628,10.0.100.6,10.0.102.6,56832,8080,TCP,0,24,c517aa60,2026-04-11T17:01:41.728396,10,40,4.952,200.59,7.6061e-06,5.018,1244901.0,medium,large
40.856,10.0.102.12,10.0.100.6,28803,8080,TCP,0,14,e1550154,2026-04-11T17:01:41.956438,10,40,4.952,200.59,7.6061e-06,4.4096,1402652.0,medium,large
43.274,10.0.100.9,10.0.100.2,23415,5001,TCP,1,29,87283005,2026-04-11T17:01:44.374430,10,43,4.998,215.69,7.6764e-06,0.42089999999999994,94261.0,small,small
43.62,10.0.102.12,10.0.104.2,11027,80,TCP,0,19,fbf0d245,2026-04-11T17:01:44.719740,10,43,4.998,215.69,7.6764e-06,1.0075,132584.0,small,medium
45.089,10.0.100.5,10.0.102.2,60285,8080,TCP,0,27,65c42f37,2026-04-11T17:01:46.189236,10,45,5.184,225.74,7.962e-06,2.2217999999999996,24810.0,small,small
45.37,10.0.104.5,10.0.100.12,17375,5003,TCP,0,20,b5d92126,2026-04-11T17:01:46.470306,10,45,5.184,225.74,7.962e-06,0.97375,149455.0,small,medium
46.349,10.0.100.6,10.0.104.6,51799,5001,TCP,0,12,ab1aa209,2026-04-11T17:01:47.448998,10,46,5.051,230.8,7.7587e-06,3.0025000000000004,691284.0,medium,medium
46.64,10.0.102.6,10.0.100.9,9856,443,OTHER,0,26,6bb5a1e0,2026-04-11T17:01:47.739993,10,46,5.051,230.8,7.7587e-06,,,,medium
46.826,10.0.102.12,10.0.102.5,63113,8443,OTHER,0,25,6c73773d,2026-04-11T17:01:47.925956,10,46,5.051,230.8,7.7587e-06,,,,medium
49.17,10.0.104.5,10.0.102.9,5628,5003,OTHER,0,28,b8013771,2026-04-11T17:01:50.270455,10,49,5.011,246.32,7.6965e-06,,,,medium
49.658,10.0.104.6,10.0.102.2,54324,8443,TCP,0,18,306917e7,2026-04-11T17:01:50.757953,10,49,5.011,246.32,7.6965e-06,0.8486999999999999,12843.0,small,small
50.441,10.0.102.5,10.0.100.6,24084,5001,TCP,0,12,1472d7f7,2026-04-11T17:01:51.540918,10,50,5.104,251.42,7.8397e-06,0.69,53271.0,small,small
53.995,10.0.100.5,10.0.102.12,8716,80,OTHER,0,12,4717d212,2026-04-11T17:01:55.094516,10,53,4.812,266.17,7.3915e-06,,,,medium
54.23,10.0.102.9,10.0.104.9,61954,80,OTHER,0,20,8bf66c88,2026-04-11T17:01:55.329639,10,54,5.29,271.46,8.1248e-06,,,,medium
56.084,10.0.100.6,10.0.102.5,37851,5001,TCP,0,22,5d6fb8c5,2026-04-11T17:01:57.183831,10,56,4.794,281.09,7.3634e-06,0.8325999999999999,10789.0,small,small
58.604,10.0.100.5,10.0.102.2,21815,80,OTHER,0,22,96a3fbe3,2026-04-11T17:01:59.703804,10,58,4.818,291.08,7.4005e-06,,,,medium
59.515,10.0.102.6,10.0.100.9,43721,8080,TCP,0,22,888bfa86,2026-04-11T17:02:00.614955,10,59,4.721,295.8,7.2509e-06,0.33349999999999996,74049.0,small,small
60.345,10.0.100.13,10.0.102.12,62577,8443,TCP,0,13,9a12359c,2026-04-11T17:02:01.444926,10,60,5.11,300.91,7.8489e-06,1.4547499999999998,55583.0,small,small
61.172,10.0.102.5,10.0.100.13,26531,8080,TCP,0,24,3fa7bcfe,2026-04-11T17:02:02.272052,10,61,4.76,305.67,7.3108e-06,0.8233999999999999,99172.0,small,small
62.343,10.0.102.6,10.0.100.12,8988,5001,TCP,0,19,836ec5c6,2026-04-11T17:02:03.442656,10,62,5.064,310.74,7.7787e-06,1.13505,64546.0,small,small
62.54,10.0.100.12,10.0.102.13,16718,8443,TCP,0,12,441d3282,2026-04-11T17:02:03.640149,10,62,5.064,310.74,7.7787e-06,2.1689,41870.0,small,small
63.302,10.0.102.9,10.0.104.2,26392,5003,OTHER,0,27,54d6d0d8,2026-04-11T17:02:04.401835,10,63,5.016,315.75,7.7051e-06,,,,medium
63.951,10.0.102.9,10.0.102.2,32919,443,OTHER,1,30,4ac2992f,2026-04-11T17:02:05.051456,10,63,5.016,315.75,7.7051e-06,,,,medium
64.181,10.0.104.2,10.0.104.6,63390,5003,TCP,0,25,1dc073a1,2026-04-11T17:02:05.281226,10,64,4.931,320.69,7.5744e-06,2.9099999999999997,1013786.0,medium,medium
64.83,10.0.104.6,10.0.100.2,50328,5001,TCP,1,29,19ae3dbb,2026-04-11T17:02:05.929638,10,64,4.931,320.69,7.5744e-06,0.47250000000000003,109500.0,small,medium
65.178,10.0.104.5,10.0.100.12,39209,8443,TCP,0,22,4762e10a,2026-04-11T17:02:06.278333,10,65,5.035,325.72,7.734e-06,0.47839999999999994,25500.0,small,small
65.958,10.0.104.5,10.0.102.6,25259,8443,TCP,0,14,ed3c21da,2026-04-11T17:02:07.058174,10,65,5.035,325.72,7.734e-06,1.2850000000000001,118615.0,small,medium
66.104,10.0.104.6,10.0.100.2,10617,80,OTHER,0,20,e9803280,2026-04-11T17:02:07.203588,10,66,5.187,330.91,7.9665e-06,,,,medium
66.202,10.0.102.12,10.0.100.13,41522,80,TCP,0,34,26f248b9,2026-04-11T17:02:07.302038,10,66,5.187,330.91,7.9665e-06,0.46115,100452.0,small,small
66.547,10.0.104.9,10.0.102.13,1936,8443,TCP,0,31,124a94a3,2026-04-11T17:02:07.647381,10,66,5.187,330.91,7.9665e-06,3.08125,427916.0,medium,medium
66.965,10.0.100.2,10.0.100.5,31283,8080,TCP,1,19,e4e2eafc,2026-04-11T17:02:08.064783,10,66,5.187,330.91,7.9665e-06,0.35764999999999997,99495.0,small,small
67.2,10.0.102.12,10.0.100.12,53996,8080,TCP,0,19,0d5ace39,2026-04-11T17:02:08.299623,10,67,5.208,336.12,8e-06,2.23625,983125.0,medium,medium
67.498,10.0.100.6,10.0.100.9,52652,8443,OTHER,0,26,127edd59,2026-04-11T17:02:08.597627,10,67,5.208,336.12,8e-06,,,,medium
67.733,10.0.104.2,10.0.102.13,5358,80,OTHER,0,14,b78c7c46,2026-04-11T17:02:08.833141,10,67,5.208,336.12,8e-06,,,,medium
68.757,10.0.104.2,10.0.100.9,45395,5001,OTHER,1,26,a34fb236,2026-04-11T17:02:09.856591,10,68,4.787,340.9,7.3533e-06,,,,medium
70.228,10.0.104.5,10.0.102.5,37559,5001,TCP,0,23,c140556e,2026-04-11T17:02:11.328304,10,70,4.86,350.7,7.465e-06,1.51875,120702.0,small,medium
71.187,10.0.102.12,10.0.102.2,61285,8080,TCP,0,20,9aad28c3,2026-04-11T17:02:12.286988,10,71,4.972,355.67,7.6363e-06,1.8813999999999997,65308.0,small,small
72.167,10.0.102.5,10.0.100.12,39865,5003,TCP,0,25,47c89fa7,2026-04-11T17:02:13.267384,10,72,4.979,360.65,7.6475e-06,2.484,20226.0,small,small
72.228,10.0.102.2,10.0.102.6,26010,443,TCP,0,18,af0d47c3,2026-04-11T17:02:13.328201,10,72,4.979,360.65,7.6475e-06,20.3164,54762608.0,large,large
74.192,10.0.102.12,10.0.100.2,7848,5003,TCP,0,35,dd413169,2026-04-11T17:02:15.292320,10,74,5.037,370.8,7.7366e-06,0.44505,85705.0,small,small
74.88,10.0.100.12,10.0.104.2,46494,5003,TCP,1,20,230802c6,2026-04-11T17:02:15.979613,10,74,5.037,370.8,7.7366e-06,1.6973999999999998,73294.0,small,small
74.995,10.0.102.5,10.0.102.6,40356,443,TCP,0,32,d41679f3,2026-04-11T17:02:16.095410,10,74,5.037,370.8,7.7366e-06,1.4731499999999997,100607.0,small,small
75.246,10.0.100.12,10.0.104.2,18376,80,TCP,0,10,b9cc5ff3,2026-04-11T17:02:16.345784,10,75,5.008,375.81,7.6929e-06,2.0205499999999996,57863.0,small,small
76.671,10.0.100.2,10.0.100.6,10073,443,TCP,0,26,8a46089c,2026-04-11T17:02:17.770776,10,76,4.906,380.71,7.5355e-06,1.22935,60585.0,small,small
77.07,10.0.100.6,10.0.100.5,53341,5001,TCP,0,24,b5d36bd4,2026-04-11T17:02:18.170439,10,77,5.041,385.75,7.7437e-06,0.5025499999999999,29604.0,small,small
80.357,10.0.100.2,10.0.104.5,30365,443,TCP,0,20,1fc53dcd,2026-04-11T17:02:21.457005,10,80,5.373,401.53,8.253e-06,2.1325,589153.0,medium,medium
84.129,10.0.102.5,10.0.104.2,36979,5003,TCP,0,25,19ea12f3,2026-04-11T17:02:25.229170,10,84,5.007,421.9,7.6911e-06,0.9889999999999999,74199.0,small,small
85.98,10.0.100.13,10.0.102.13,8377,8080,TCP,1,23,2f21986f,2026-04-11T17:02:27.080309,10,85,4.706,426.61,7.2282e-06,1.4800499999999999,16869.0,small,small
86.108,10.0.104.9,10.0.104.2,33875,8443,TCP,0,21,6cc39c7b,2026-04-11T17:02:27.208316,10,86,5.167,431.77,7.9359e-06,2.36875,573940.0,medium,medium
86.497,10.0.104.6,10.0.100.2,41481,80,OTHER,0,25,56451d5a,2026-04-11T17:02:27.596614,10,86,5.167,431.77,7.9359e-06,,,,medium
86.636,10.0.102.9,10.0.102.13,64588,8080,OTHER,0,29,3445a522,2026-04-11T17:02:27.736003,10,86,5.167,431.77,7.9359e-06,,,,medium
86.729,10.0.104.6,10.0.100.6,24995,443,TCP,0,11,9c398c5b,2026-04-11T17:02:27.828947,10,86,5.167,431.77,7.9359e-06,1.2397,9748.0,small,small
88.256,10.0.100.6,10.0.104.2,31000,80,TCP,1,22,c5298e52,2026-04-11T17:02:29.356445,10,88,4.935,441.66,7.58e-06,0.90735,26572.0,small,small
89.902,10.0.102.6,10.0.100.13,5715,8443,TCP,0,12,fdc0d289,2026-04-11T17:02:31.002289,10,89,5.078,446.74,7.7994e-06,3.1950000000000003,697659.0,medium,medium
90.474,10.0.104.2,10.0.102.13,27853,80,TCP,0,21,dfb89a2a,2026-04-11T17:02:31.574341,10,90,5.055,451.79,7.7638e-06,2.8912000000000004,1099025.0,medium,large
90.612,10.0.102.6,10.0.104.6,34913,5003,TCP,0,7,ec2ceec8,2026-04-11T17:02:31.711980,10,90,5.055,451.79,7.7638e-06,1.01315,13040.0,small,small
91.354,10.0.100.6,10.0.102.2,36451,5003,TCP,0,25,67c86364,2026-04-11T17:02:32.454069,10,91,5.088,456.88,7.8156e-06,2.8337499999999998,449379.0,medium,medium
94.046,10.0.100.6,10.0.100.5,52100,443,TCP,0,20,22bbdde8,2026-04-11T17:02:35.145898,10,94,4.754,471.68,7.302e-06,0.6950000000000001,126257.0,small,medium
94.362,10.0.102.12,10.0.102.5,62206,5003,OTHER,0,22,45859a08,2026-04-11T17:02:35.461740,10,94,4.754,471.68,7.302e-06,,,,medium
99.243,10.0.100.6,10.0.100.2,59674,5003,TCP,0,25,ad6d0d59,2026-04-11T17:02:40.343116,10,99,5.222,497.13,8.0205e-06,9.485199999999999,49679.0,small,small
100.354,10.0.104.9,10.0.100.12,14075,80,TCP,1,17,8a139929,2026-04-11T17:02:41.454196,10,100,5.046,502.17,7.7511e-06,0.7705,96127.0,small,small
101.006,10.0.100.13,10.0.102.12,59548,443,TCP,0,15,b66b2694,2026-04-11T17:02:42.106060,10,101,5.106,507.28,7.8421e-06,0.6003,83770.0,small,small
104.224,10.0.100.9,10.0.102.5,32894,5003,TCP,0,15,8440ba2a,2026-04-11T17:02:45.324179,10,104,5.116,522.32,7.8579e-06,0.7026499999999999,69110.0,small,small
104.261,10.0.102.5,10.0.102.2,16364,5001,TCP,0,30,3fbaab88,2026-04-11T17:02:45.361088,10,104,5.116,522.32,7.8579e-06,1.16625,113425.0,small,medium
107.671,10.0.104.9,10.0.104.5,34834,443,TCP,0,27,be771f68,2026-04-11T17:02:48.771404,10,107,4.895,537.25,7.5183e-06,0.6474499999999999,32769.0,small,small
107.816,10.0.104.5,10.0.102.6,30976,443,TCP,1,29,a0e47f3f,2026-04-11T17:02:48.915792,10,107,4.895,537.25,7.5183e-06,1.0419,69834.0,small,small
111.805,10.0.100.6,10.0.104.9,64693,80,TCP,0,24,3bc87c75,2026-04-11T17:02:52.905076,10,111,5.306,557.44,8.1499e-06,3.2981,1088511.0,medium,large
112.938,10.0.100.13,10.0.102.6,26303,443,OTHER,0,11,fe776206,2026-04-11T17:02:54.037914,10,112,5.034,562.48,7.7321e-06,,,,medium
113.748,10.0.102.13,10.0.102.9,57523,5001,TCP,1,32,68ca9a45,2026-04-11T17:02:54.847618,10,113,4.933,567.41,7.5765e-06,0.50945,46515.0,small,small
116.427,10.0.102.2,10.0.100.12,37562,80,TCP,1,25,2aea006f,2026-04-11T17:02:57.527145,10,116,4.88,582.23,7.4952e-06,0.52095,93421.0,small,small
118.677,10.0.100.12,10.0.102.13,65506,8080,TCP,0,19,9c66442a,2026-04-11T17:02:59.777321,10,118,5.146,592.4,7.9044e-06,1.4478499999999999,81089.0,small,small
125.952,10.0.104.5,10.0.100.2,9633,80,TCP,0,13,3f0a7ee6,2026-04-11T17:03:07.052037,10,125,4.793,627.36,7.3618e-06,16.0186,7663684.0,large,large
126.358,10.0.100.9,10.0.104.2,30104,5001,OTHER,0,30,952c2987,2026-04-11T17:03:07.457768,10,126,4.696,632.05,7.2124e-06,,,,medium
127.163,10.0.104.6,10.0.102.9,57026,5001,TCP,0,16,b80b9499,2026-04-11T17:03:08.262686,10,127,5.078,637.13,7.7996e-06,2.12875,602013.0,medium,medium
127.203,10.0.104.2,10.0.102.9,49206,5001,OTHER,0,21,3fa4b777,2026-04-11T17:03:08.302997,10,127,5.078,637.13,7.7996e-06,,,,medium
127.339,10.0.104.6,10.0.102.6,34168,8443,TCP,0,26,a101d5c8,2026-04-11T17:03:08.438822,10,127,5.078,637.13,7.7996e-06,1.00625,110075.0,small,medium
129.049,10.0.102.9,10.0.100.12,55296,80,TCP,0,29,5107bfe6,2026-04-11T17:03:10.149229,10,129,4.986,646.89,7.659e-06,0.46919999999999995,3909.0,small,small
131.199,10.0.100.9,10.0.100.12,38965,5001,TCP,0,24,7a6bbeb0,2026-04-11T17:03:12.299407,10,131,4.866,656.92,7.4749e-06,3.7882000000000002,1470723.0,medium,large
137.227,10.0.102.2,10.0.102.13,62229,8080,TCP,1,14,27986fa3,2026-04-11T17:03:18.327091,10,137,4.841,686.92,7.436e-06,3.1551,1160468.0,medium,large
138.884,10.0.102.5,10.0.100.5,22213,5001,TCP,1,27,0af5f7a6,2026-04-11T17:03:19.983657,10,138,4.948,691.86,7.6003e-06,2.32875,17999.0,small,small
139.029,10.0.100.9,10.0.102.6,25418,5003,TCP,0,21,25451c2d,2026-04-11T17:03:20.129222,10,139,4.848,696.71,7.4464e-06,0.94375,116351.0,small,medium
139.184,10.0.102.12,10.0.102.5,6030,5003,OTHER,0,25,191fcc77,2026-04-11T17:03:20.283701,10,139,4.848,696.71,7.4464e-06,,,,medium
140.883,10.0.100.13,10.0.102.13,14452,80,OTHER,0,22,96c7e0b1,2026-04-11T17:03:21.983222,10,140,5.349,702.06,8.2164e-06,,,,medium
143.674,10.0.102.13,10.0.102.2,44094,80,TCP,1,26,d7d01157,2026-04-11T17:03:24.774438,10,143,4.942,717.37,7.5906e-06,0.95375,146389.0,small,medium
146.924,10.0.102.13,10.0.104.2,59509,443,TCP,0,16,ce125e4e,2026-04-11T17:03:28.024132,10,146,4.904,732.27,7.5323e-06,5.2425,279584.0,medium,medium
148.263,10.0.100.2,10.0.102.5,8343,5003,TCP,0,33,68d44d16,2026-04-11T17:03:29.363456,10,148,5.13,742.3,7.8803e-06,0.7268,102370.0,small,small
148.532,10.0.102.6,10.0.102.12,15426,8080,TCP,0,13,675af164,2026-04-11T17:03:29.632023,10,148,5.13,742.3,7.8803e-06,0.73625,109895.0,small,medium
150.113,10.0.104.5,10.0.100.2,19926,5001,TCP,0,25,509d2355,2026-04-11T17:03:31.213366,10,150,4.918,752.4,7.5533e-06,8.6242,1151548.0,medium,large
150.887,10.0.102.12,10.0.102.2,20072,5003,OTHER,0,15,f58d569b,2026-04-11T17:03:31.986868,10,150,4.918,752.4,7.5533e-06,,,,medium
152.219,10.0.102.2,10.0.102.5,16320,5001,OTHER,0,23,8f5775d7,2026-04-11T17:03:33.318536,10,152,5.192,762.37,7.9753e-06,,,,medium
155.004,10.0.104.9,10.0.104.2,52616,8443,OTHER,1,25,eb40484d,2026-04-11T17:03:36.104057,10,155,5.007,777.24,7.6908e-06,,,,medium
156.968,10.0.100.9,10.0.102.12,52828,5003,TCP,0,24,4f810eff,2026-04-11T17:03:38.067675,10,156,5.037,782.27,7.7365e-06,0.3978999999999999,42974.0,small,small
157.503,10.0.102.6,10.0.102.5,19240,5001,TCP,0,24,eb9ce15b,2026-04-11T17:03:38.602503,10,157,5.064,787.34,7.779e-06,2.39375,124236.0,small,medium
160.348,10.0.102.6,10.0.102.5,30858,8080,TCP,0,20,d216928b,2026-04-11T17:03:41.447699,10,160,4.961,802.32,7.6205e-06,0.8699999999999999,134918.0,small,medium
161.124,10.0.104.5,10.0.102.12,1993,8443,TCP,0,33,0c0ce118,2026-04-11T17:03:42.224066,10,161,4.657,806.98,7.1534e-06,0.9107999999999999,70874.0,small,small
161.478,10.0.100.5,10.0.102.5,12498,8080,TCP,1,20,4d20d21c,2026-04-11T17:03:42.578307,10,161,4.657,806.98,7.1534e-06,0.7659,32206.0,small,small
162.409,10.0.102.2,10.0.100.13,42853,443,TCP,0,19,77ee1a2a,2026-04-11T17:03:43.509396,10,162,4.77,811.75,7.3262e-06,0.2323,3632.0,small,small
162.459,10.0.100.6,10.0.102.9,47002,5003,TCP,0,29,b73fbe56,2026-04-11T17:03:43.558727,10,162,4.77,811.75,7.3262e-06,1.60195,35085.0,small,small
162.644,10.0.102.2,10.0.104.9,47423,8080,TCP,1,23,444da457,2026-04-11T17:03:43.743816,10,162,4.77,811.75,7.3262e-06,1.0603,50517.0,small,small
162.701,10.0.100.2,10.0.104.6,58519,8080,TCP,0,14,b78723ce,2026-04-11T17:03:43.800613,10,162,4.77,811.75,7.3262e-06,3.1712499999999997,143073.0,small,medium
163.372,10.0.102.2,10.0.102.6,48704,8443,OTHER,0,20,4a9166ce,2026-04-11T17:03:44.472045,10,163,5.188,816.93,7.9687e-06,,,,medium
163.838,10.0.102.2,10.0.104.6,49879,80,TCP,0,14,c815ae8c,2026-04-11T17:03:44.938484,10,163,5.188,816.93,7.9687e-06,4.6969,1149672.0,medium,large
164.181,10.0.102.9,10.0.102.5,39616,80,TCP,0,34,ac1e7798,2026-04-11T17:03:45.281467,10,164,4.916,821.85,7.5508e-06,3.2981999999999996,33416.0,small,small
165.022,10.0.100.9,10.0.102.13,9550,443,TCP,0,12,f44ed1a1,2026-04-11T17:03:46.122023,10,165,4.997,826.85,7.6755e-06,0.54165,64608.0,small,small
166.749,10.0.100.6,10.0.104.2,46201,443,TCP,0,29,0b1db315,2026-04-11T17:03:47.848891,10,166,4.988,831.83,7.6622e-06,1.5110999999999999,79178.0,small,small
168.276,10.0.102.9,10.0.100.5,14527,5003,TCP,0,21,f30b28fa,2026-04-11T17:03:49.376154,10,168,5.025,841.53,7.7185e-06,1.6,142944.0,small,medium
171.821,10.0.104.6,10.0.104.2,38497,8443,TCP,1,25,c1262b13,2026-04-11T17:03:52.920693,10,171,4.785,856.3,7.3498e-06,2.92875,1035635.0,medium,medium
172.997,10.0.104.2,10.0.102.13,48130,5003,TCP,0,22,760d69ae,2026-04-11T17:03:54.096990,10,172,4.923,861.23,7.5621e-06,6.727499999999999,397160.0,medium,medium
176.043,10.0.104.9,10.0.102.2,4531,443,TCP,0,24,88d15e7b,2026-04-11T17:03:57.142905,10,176,5.164,881.54,7.9314e-06,0.8671,60480.0,small,small
176.208,10.0.104.2,10.0.100.6,43585,443,OTHER,0,13,dafb2073,2026-04-11T17:03:57.307968,10,176,5.164,881.54,7.9314e-06,,,,medium
179.033,10.0.104.6,10.0.100.2,12382,8443,TCP,0,32,5f2540f6,2026-04-11T17:04:00.133163,10,179,5.033,896.67,7.7308e-06,0.9878499999999999,88389.0,small,small
181.72,10.0.100.5,10.0.102.5,64345,80,OTHER,0,23,d5c1bbaf,2026-04-11T17:04:02.820113,10,181,5.191,906.52,7.9729e-06,,,,medium
182.095,10.0.100.9,10.0.102.12,20023,8443,TCP,0,21,20c88bfd,2026-04-11T17:04:03.195195,10,182,5.154,911.67,7.9158e-06,1.7574999999999998,112603.0,small,medium
183.477,10.0.100.12,10.0.102.9,14681,8443,TCP,1,13,fdcadf29,2026-04-11T17:04:04.577070,10,183,4.929,916.6,7.5715e-06,1.72385,4782.0,small,small
184.27,10.0.104.6,10.0.100.2,60736,443,OTHER,0,29,f498ef4c,2026-04-11T17:04:05.369788,10,184,5.381,921.98,8.2656e-06,,,,medium
185.451,10.0.100.9,10.0.104.5,45902,5001,TCP,0,27,7946b58d,2026-04-11T17:04:06.550805,10,185,5.051,927.03,7.7585e-06,2.116,19566.0,small,small
185.775,10.0.102.5,10.0.100.6,26228,5001,TCP,0,31,8757f2db,2026-04-11T17:04:06.874535,10,185,5.051,927.03,7.7585e-06,2.4479,1173205.0,medium,large
186.259,10.0.100.2,10.0.100.12,49514,5003,TCP,0,24,27583c3d,2026-04-11T17:04:07.359291,10,186,4.894,931.93,7.5168e-06,1.2121,89208.0,small,small
