timestamp_s,src_ip,dst_ip,src_port,dst_port,protocol,queue_depth_bytes,tx_link_util_0_255,flow_hash,datetime_iso,load_percent,time_sec,probes_per_sec,total_probes,overhead,fct_ms,flow_size_bytes,flow_type
6.437,10.0.106.14,224.0.0.1,0,0,OTHER,3,0,7b39a362,2026-04-11T17:01:07.437,10,6,1.835,12.14,0.000009444,,,
6.547,10.0.101.4,10.0.106.14,60629,5002,TCP,1,26,2013b5d4,2026-04-11T17:01:07.547,10,6,1.837,12.66,0.00001032,1.263,6977,small
6.853,10.0.105.11,10.0.100.1,62292,8080,TCP,2,16,44f8261a,2026-04-11T17:01:07.853,10,6,1.913,13.19,0.000010211,2.177,492997,medium
7.084,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,38dc0d27,2026-04-11T17:01:08.084,10,7,1.842,13.71,0.000009493,,,
7.478,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,7b39a362,2026-04-11T17:01:08.478,10,7,1.909,14.19,0.000009545,,,
7.711,10.0.106.13,224.0.0.1,0,0,OTHER,0,1,31161442,2026-04-11T17:01:08.711,10,7,1.873,14.7,0.000010128,,,
8.175,10.0.102.5,10.0.103.7,64471,5002,TCP,0,30,48c45ab9,2026-04-11T17:01:09.175,10,8,1.975,15.18,0.000010128,0.776,4237,small
8.248,10.0.106.13,10.0.100.1,62376,5002,TCP,3,26,2f4ae3fd,2026-04-11T17:01:09.248,10,8,1.985,15.7,0.000009859,4.287,6222100,large
8.592,10.0.101.4,10.0.103.8,65249,8443,TCP,1,22,7c862f03,2026-04-11T17:01:09.592,10,8,1.832,16.16,0.000009274,1.318,5091,small
8.621,10.0.103.7,10.0.100.2,51520,8443,TCP,1,25,c520e013,2026-04-11T17:01:09.621,10,8,1.874,16.63,0.000009317,4.951,19811524,large
8.995,10.0.105.11,10.0.101.4,58786,5002,TCP,0,17,46191361,2026-04-11T17:01:09.995,10,8,1.829,17.09,0.000009619,2.696,368788,medium
9.071,10.0.107.16,224.0.0.1,0,0,OTHER,0,3,a5246343,2026-04-11T17:01:10.071,10,9,1.856,17.59,0.000009392,,,
9.314,10.0.105.12,10.0.104.10,49902,5001,TCP,1,20,528dba52,2026-04-11T17:01:10.314,10,9,1.871,18.11,0.000009461,1.903,507428,medium
9.686,10.0.107.15,10.0.105.12,55715,5001,TCP,1,18,72cac090,2026-04-11T17:01:10.686,10,9,2.003,18.68,0.000009331,2.284,166940,medium
10.022,10.0.102.5,10.0.104.9,52476,5001,TCP,6,18,00d0298c,2026-04-11T17:01:11.022,10,10,1.892,19.2,0.000010383,1.887,440799,medium
10.245,10.0.102.6,10.0.103.7,61692,8080,TCP,2,32,76e7cbc3,2026-04-11T17:01:11.245,10,10,1.787,19.67,0.000010256,1.372,4900,small
10.391,10.0.104.10,224.0.0.1,0,0,OTHER,1,2,06efb7ce,2026-04-11T17:01:11.391,10,10,1.887,20.13,0.000009924,,,
10.606,10.0.105.11,10.0.105.12,50045,5003,TCP,2,25,482a9831,2026-04-11T17:01:11.606,10,10,1.899,20.61,0.000009327,2.01,9811,small
10.988,10.0.102.6,10.0.106.14,56160,5002,TCP,2,26,cc41a139,2026-04-11T17:01:11.988,10,10,1.84,21.13,0.000009639,1.866,3155,small
11.327,10.0.101.4,10.0.100.1,54432,8443,TCP,1,32,797dcd59,2026-04-11T17:01:12.327,10,11,1.85,21.62,0.000010302,1.147,4108,small
11.416,10.0.101.4,10.0.106.13,52999,8080,TCP,0,24,38999b36,2026-04-11T17:01:12.416,10,11,1.953,22.17,0.000010218,4.786,38038322,large
11.764,10.0.101.3,10.0.107.15,63110,8080,TCP,2,28,efe94223,2026-04-11T17:01:12.764,10,11,1.948,22.72,0.000009946,1.672,6825,small
12.387,10.0.106.13,224.0.0.1,0,0,OTHER,0,3,31161442,2026-04-11T17:01:13.387,10,12,1.979,23.25,0.000009936,,,
12.51,10.0.100.2,10.0.101.3,58644,5001,TCP,2,24,0be1a581,2026-04-11T17:01:13.510,10,12,1.939,23.78,0.000009569,1.818,4200,small
12.791,10.0.107.15,224.0.0.1,0,0,OTHER,0,3,bf41fc47,2026-04-11T17:01:13.791,10,12,1.954,24.26,0.000009344,,,
13.03,10.0.106.14,10.0.105.11,58817,5001,TCP,3,22,a14e133a,2026-04-11T17:01:14.030,10,13,1.908,24.75,0.000009677,1.057,12433,small
13.106,10.0.107.16,224.0.0.1,0,0,OTHER,1,4,a5246343,2026-04-11T17:01:14.106,10,13,1.817,25.24,0.000009468,,,
13.108,10.0.100.2,224.0.0.1,0,0,OTHER,0,2,727e1632,2026-04-11T17:01:14.108,10,13,1.937,25.74,0.000009435,,,
13.682,10.0.106.14,10.0.101.4,61227,5001,TCP,1,26,ce9af5cb,2026-04-11T17:01:14.682,10,13,1.927,26.26,0.000010124,1.363,8394,small
13.855,10.0.106.13,10.0.105.12,51847,5002,TCP,6,21,7fce22b4,2026-04-11T17:01:14.855,10,13,1.968,26.78,0.000009269,1.084,7395,small
14.389,10.0.104.9,10.0.102.5,53192,8080,TCP,0,30,402ebe31,2026-04-11T17:01:15.389,10,14,1.837,27.28,0.00000941,1.584,9985,small
14.639,10.0.102.6,10.0.106.13,51836,5001,TCP,1,25,bb63bdf9,2026-04-11T17:01:15.639,10,14,1.873,27.75,0.000009908,2.307,2772,small
14.914,10.0.107.16,10.0.106.14,61567,5001,TCP,0,20,16896a60,2026-04-11T17:01:15.914,10,14,1.933,28.24,0.000009543,1.026,9612,small
15.249,10.0.100.2,10.0.104.9,53852,5001,TCP,0,17,c5e9bc03,2026-04-11T17:01:16.249,10,15,1.875,28.76,0.000010255,1.097,651,small
15.279,10.0.100.1,224.0.0.1,0,0,OTHER,0,4,b5bfd26b,2026-04-11T17:01:16.279,10,15,1.954,29.26,0.000009441,,,
15.711,10.0.105.12,10.0.100.1,64294,5003,TCP,4,26,90355619,2026-04-11T17:01:16.711,10,15,1.827,29.72,0.000010347,1.126,512,small
15.898,10.0.106.13,10.0.102.6,57294,8080,TCP,1,27,2f6b9211,2026-04-11T17:01:16.898,10,15,1.947,30.24,0.000009264,1.326,7583,small
16.131,10.0.104.10,10.0.106.13,58967,5003,TCP,0,36,1d5250e4,2026-04-11T17:01:17.131,10,16,1.909,30.71,0.000009977,1.685,212448,medium
16.334,10.0.106.13,224.0.0.1,0,0,OTHER,2,4,31161442,2026-04-11T17:01:17.334,10,16,1.905,31.18,0.000010257,,,
16.681,10.0.105.11,10.0.105.12,64351,5002,TCP,2,23,75c03c26,2026-04-11T17:01:17.681,10,16,1.88,31.67,0.000009532,1.135,53148,small
16.704,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,bf41fc47,2026-04-11T17:01:17.704,10,16,1.858,32.15,0.000009569,,,
16.994,10.0.103.7,10.0.100.1,51050,5003,TCP,5,24,40bcd645,2026-04-11T17:01:17.994,10,16,1.806,32.67,0.000010044,1.447,2493,small
17.237,10.0.107.16,10.0.105.11,54070,5001,TCP,2,24,0a34b8fa,2026-04-11T17:01:18.237,10,17,1.924,33.2,0.000010002,1.638,5376,small
17.492,10.0.106.14,10.0.107.15,61420,8443,TCP,1,16,e30d974b,2026-04-11T17:01:18.492,10,17,1.987,33.73,0.000009639,1.777,340025,medium
17.93,10.0.105.12,10.0.104.10,63675,8080,TCP,2,19,5a08a545,2026-04-11T17:01:18.930,10,17,1.925,34.27,0.000010105,1.288,6119,small
18.151,10.0.106.14,10.0.103.7,64367,5003,TCP,3,25,19af64f1,2026-04-11T17:01:19.151,10,18,1.84,34.76,0.000010061,2.029,104136,medium
18.447,10.0.105.12,10.0.107.15,56452,8443,TCP,1,24,20a689c7,2026-04-11T17:01:19.447,10,18,1.829,35.24,0.000009364,1.284,3880,small
18.634,10.0.101.4,224.0.0.1,0,0,OTHER,4,1,38dc0d27,2026-04-11T17:01:19.634,10,18,1.839,35.7,0.000009727,,,
18.881,10.0.107.16,10.0.105.12,52393,5001,TCP,1,25,f30a6fc7,2026-04-11T17:01:19.881,10,18,1.913,36.17,0.00001029,1.43,22674,small
19.117,10.0.106.13,10.0.100.2,60708,8443,TCP,0,21,d2154dea,2026-04-11T17:01:20.117,10,19,1.952,36.72,0.000010277,1.605,681396,medium
19.65,10.0.101.3,10.0.102.5,55523,5001,TCP,1,23,db1b6749,2026-04-11T17:01:20.650,10,19,1.876,37.18,0.000010069,0.922,3800,small
19.925,10.0.107.15,10.0.101.4,52825,8080,TCP,2,24,f78f604e,2026-04-11T17:01:20.925,10,19,1.913,37.68,0.000010053,1.332,650,small
20.047,10.0.100.1,224.0.0.1,0,0,OTHER,0,2,b5bfd26b,2026-04-11T17:01:21.047,10,20,1.834,38.17,0.000009776,,,
20.226,10.0.107.16,10.0.106.14,65338,8443,TCP,0,30,bf9045e8,2026-04-11T17:01:21.226,10,20,1.94,38.66,0.000009989,1.648,3850,small
20.573,10.0.106.13,224.0.0.1,0,0,OTHER,1,0,31161442,2026-04-11T17:01:21.573,10,20,1.789,39.17,0.000009434,,,
20.899,10.0.106.14,10.0.102.5,61915,5003,TCP,2,23,30e31b5e,2026-04-11T17:01:21.899,10,20,1.848,39.69,0.000009632,1.214,5868,small
20.908,10.0.100.1,10.0.107.16,61640,8443,TCP,2,21,7550cf2b,2026-04-11T17:01:21.908,10,20,1.904,40.22,0.000009546,3.026,1279961,medium
21.285,10.0.104.9,10.0.103.7,49762,5001,TCP,3,32,e5bb5c06,2026-04-11T17:01:22.285,10,21,1.932,40.71,0.000010247,1.335,13677,small
21.663,10.0.103.8,10.0.103.7,62033,8443,TCP,0,23,f050a930,2026-04-11T17:01:22.663,10,21,1.911,41.19,0.00001007,1.023,1194,small
21.99,10.0.102.5,10.0.105.12,53921,5001,TCP,0,25,df56adc6,2026-04-11T17:01:22.990,10,21,1.899,41.66,0.000010001,4.371,9222424,large
22.168,10.0.103.7,224.0.0.1,0,0,OTHER,1,2,e018ff0c,2026-04-11T17:01:23.168,10,22,1.932,42.2,0.000010353,,,
22.386,10.0.106.14,10.0.100.2,65142,5003,TCP,0,33,1b6de1ff,2026-04-11T17:01:23.386,10,22,1.916,42.68,0.000009655,0.856,7322,small
22.592,10.0.100.2,10.0.101.3,58459,5002,TCP,3,30,1f5b221f,2026-04-11T17:01:23.592,10,22,1.903,43.18,0.000009674,1.755,88588,small
22.988,10.0.103.8,224.0.0.1,0,0,OTHER,0,1,f4c14cd2,2026-04-11T17:01:23.988,10,22,1.848,43.65,0.000009903,,,
23.032,10.0.105.12,10.0.105.11,56509,5001,TCP,0,30,ac71855b,2026-04-11T17:01:24.032,10,23,1.911,44.19,0.000009715,1.653,11794,small
23.233,10.0.101.3,10.0.102.5,61996,8080,TCP,5,21,db7b9477,2026-04-11T17:01:24.233,10,23,1.922,44.66,0.000010042,1.694,24245,small
23.406,10.0.105.12,224.0.0.1,0,0,OTHER,0,4,059ac9ec,2026-04-11T17:01:24.406,10,23,1.966,45.16,0.000010318,,,
24.113,10.0.105.11,224.0.0.1,0,0,OTHER,1,2,33a435ee,2026-04-11T17:01:25.113,10,24,2.038,45.71,0.000010085,,,
24.255,10.0.104.10,10.0.106.13,61091,5001,TCP,0,31,8c327c77,2026-04-11T17:01:25.255,10,24,1.982,46.27,0.000009562,1.233,4728,small
24.524,10.0.105.12,224.0.0.1,0,0,OTHER,0,2,059ac9ec,2026-04-11T17:01:25.524,10,24,1.88,46.79,0.000010252,,,
24.709,10.0.103.7,10.0.100.2,57800,8443,TCP,1,27,e48874d3,2026-04-11T17:01:25.709,10,24,1.932,47.3,0.000009445,4.645,11958619,large
25.055,10.0.103.8,10.0.100.2,49504,5001,TCP,0,36,f75a670a,2026-04-11T17:01:26.055,10,25,1.934,47.82,0.000009277,1.274,10959,small
25.213,10.0.102.6,10.0.101.4,53118,5002,TCP,1,29,ff426bba,2026-04-11T17:01:26.213,10,25,1.994,48.3,0.000009352,1.159,4420,small
25.623,10.0.101.3,10.0.100.1,55844,5003,TCP,1,31,fe476a1c,2026-04-11T17:01:26.623,10,25,1.949,48.8,0.000009248,1.577,7960,small
25.734,10.0.104.9,10.0.100.2,56172,5001,TCP,0,30,a4fe86e2,2026-04-11T17:01:26.734,10,25,1.954,49.35,0.000009606,3.088,20207178,large
26.019,10.0.103.7,224.0.0.1,0,0,OTHER,0,0,e018ff0c,2026-04-11T17:01:27.019,10,26,1.907,49.88,0.000009904,,,
26.39,10.0.105.11,10.0.101.4,63751,5002,TCP,0,34,bba2b132,2026-04-11T17:01:27.390,10,26,1.867,50.4,0.00000952,1.26,570047,medium
26.564,10.0.107.16,224.0.0.1,0,0,OTHER,2,2,a5246343,2026-04-11T17:01:27.564,10,26,1.861,50.85,0.000009331,,,
27.105,10.0.107.15,224.0.0.1,0,0,OTHER,1,6,bf41fc47,2026-04-11T17:01:28.105,10,27,1.846,51.3,0.000010209,,,
27.386,10.0.104.9,224.0.0.1,0,0,OTHER,3,2,0f24eb4f,2026-04-11T17:01:28.386,10,27,1.829,51.8,0.000010273,,,
27.492,10.0.103.8,10.0.100.2,61485,5001,TCP,5,28,e6a1f731,2026-04-11T17:01:28.492,10,27,1.982,52.34,0.000009305,2.221,6491,small
27.796,10.0.107.15,10.0.102.5,63437,5003,TCP,2,22,64e87590,2026-04-11T17:01:28.796,10,27,1.944,52.84,0.000009825,1.773,4584,small
27.909,10.0.101.3,10.0.106.13,60110,5001,TCP,0,22,1745a76a,2026-04-11T17:01:28.909,10,27,1.83,53.29,0.000010012,1.252,4160,small
28.143,10.0.106.13,10.0.104.9,63675,8080,TCP,0,25,47dccfbb,2026-04-11T17:01:29.143,10,28,1.877,53.81,0.000010327,1.444,2186,small
28.739,10.0.102.5,10.0.106.14,56321,5002,TCP,1,22,93cfd60a,2026-04-11T17:01:29.739,10,28,1.888,54.29,0.00000971,1.694,298924,medium
28.837,10.0.100.2,10.0.107.16,52019,5002,TCP,1,26,8ef53c0c,2026-04-11T17:01:29.837,10,28,1.906,54.83,0.000010168,2.909,290995,medium
29.177,10.0.100.1,10.0.100.2,58715,5001,TCP,1,21,81be8c59,2026-04-11T17:01:30.177,10,29,2.011,55.38,0.00000956,4.998,20226294,large
29.536,10.0.101.3,10.0.104.10,59352,5002,TCP,1,20,3f2b1770,2026-04-11T17:01:30.536,10,29,1.851,55.89,0.000010221,1.576,7514,small
29.631,10.0.101.4,224.0.0.1,0,0,OTHER,0,2,38dc0d27,2026-04-11T17:01:30.631,10,29,1.902,56.39,0.000010066,,,
29.707,10.0.103.8,10.0.102.6,62583,8443,TCP,1,27,e4de89dc,2026-04-11T17:01:30.707,10,29,1.91,56.87,0.000010382,1.365,3481,small
30.274,10.0.101.3,224.0.0.1,0,0,OTHER,2,1,e64c1c74,2026-04-11T17:01:31.274,10,30,1.971,57.38,0.000010103,,,
30.426,10.0.102.6,10.0.101.3,50277,5003,TCP,0,33,f95d6879,2026-04-11T17:01:31.426,10,30,1.892,57.9,0.000010342,1.041,1993,small
30.591,10.0.104.9,10.0.107.15,50207,8080,TCP,6,31,d34dfa24,2026-04-11T17:01:31.591,10,30,1.98,58.42,0.000010177,1.154,3930,small
30.842,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,7b39a362,2026-04-11T17:01:31.842,10,30,2.064,59.01,0.000009956,,,
31.217,10.0.105.11,10.0.103.8,53545,8080,TCP,1,23,dcf2ae89,2026-04-11T17:01:32.217,10,31,1.894,59.48,0.000009662,1.155,8910,small
31.308,10.0.101.4,10.0.106.14,54033,8080,TCP,1,20,e65fb10a,2026-04-11T17:01:32.308,10,31,1.908,59.96,0.000009467,1.346,6799,small
31.579,10.0.102.6,10.0.106.14,61329,5002,TCP,1,26,516c7dd7,2026-04-11T17:01:32.579,10,31,1.886,60.47,0.000010272,1.187,3340,small
31.907,10.0.105.12,224.0.0.1,0,0,OTHER,0,3,059ac9ec,2026-04-11T17:01:32.907,10,31,1.964,60.98,0.000009668,,,
32.165,10.0.102.6,224.0.0.1,0,0,OTHER,0,4,5282c541,2026-04-11T17:01:33.165,10,32,1.963,61.49,0.000010061,,,
32.544,10.0.106.14,224.0.0.1,0,0,OTHER,0,3,7b39a362,2026-04-11T17:01:33.544,10,32,1.937,61.97,0.000010209,,,
32.561,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,7b39a362,2026-04-11T17:01:33.561,10,32,1.933,62.52,0.000010226,,,
33.031,10.0.100.2,224.0.0.1,0,0,OTHER,5,0,727e1632,2026-04-11T17:01:34.031,10,33,1.92,63.05,0.000010191,,,
33.362,10.0.102.5,224.0.0.1,0,0,OTHER,2,0,19b19002,2026-04-11T17:01:34.362,10,33,1.964,63.6,0.000010183,,,
33.398,10.0.101.4,224.0.0.1,0,0,OTHER,0,4,38dc0d27,2026-04-11T17:01:34.398,10,33,1.97,64.12,0.000010008,,,
33.495,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,e64c1c74,2026-04-11T17:01:34.495,10,33,1.996,64.62,0.000010349,,,
34.012,10.0.103.8,224.0.0.1,0,0,OTHER,2,3,f4c14cd2,2026-04-11T17:01:35.012,10,34,1.912,65.11,0.000009515,,,
34.09,10.0.107.16,10.0.105.11,58191,8080,TCP,19,32,d621af80,2026-04-11T17:01:35.090,10,34,1.971,65.59,0.00000937,1.207,15891,small
34.542,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,31161442,2026-04-11T17:01:35.542,10,34,1.906,66.13,0.000010181,,,
34.947,10.0.107.16,10.0.105.11,63606,5001,TCP,0,24,4f87e96d,2026-04-11T17:01:35.947,10,34,1.883,66.6,0.000009262,1.827,255316,medium
35.077,10.0.100.1,224.0.0.1,0,0,OTHER,0,1,b5bfd26b,2026-04-11T17:01:36.077,10,35,1.943,67.09,0.000009605,,,
35.444,10.0.101.3,10.0.103.8,59469,5002,TCP,4,33,739945ba,2026-04-11T17:01:36.444,10,35,1.915,67.57,0.000010321,0.946,26977,small
35.83,10.0.103.8,10.0.101.3,50707,5003,TCP,0,23,9d04b0ce,2026-04-11T17:01:36.830,10,35,1.956,68.12,0.000010325,0.959,65906,small
35.922,10.0.101.3,224.0.0.1,0,0,OTHER,0,3,e64c1c74,2026-04-11T17:01:36.922,10,35,1.767,68.61,0.000010195,,,
36.267,10.0.103.8,10.0.101.4,55403,8080,TCP,0,31,f3767444,2026-04-11T17:01:37.267,10,36,1.89,69.1,0.000009421,1.254,6179,small
36.479,10.0.106.14,10.0.105.11,51336,5003,TCP,4,17,edc8e6b3,2026-04-11T17:01:37.479,10,36,1.888,69.6,0.000009607,1.434,59330,small
36.57,10.0.101.4,224.0.0.1,0,0,OTHER,1,0,38dc0d27,2026-04-11T17:01:37.570,10,36,1.945,70.15,0.000010299,,,
36.976,10.0.106.14,224.0.0.1,0,0,OTHER,0,3,7b39a362,2026-04-11T17:01:37.976,10,36,1.884,70.63,0.000010327,,,
37.097,10.0.105.12,10.0.101.3,50383,5001,TCP,1,24,02ea5281,2026-04-11T17:01:38.097,10,37,1.888,71.09,0.000010224,1.311,7896,small
37.468,10.0.100.2,10.0.104.10,61099,5003,TCP,0,24,54c81b8a,2026-04-11T17:01:38.468,10,37,1.978,71.61,0.000009715,1.483,12845,small
37.827,10.0.106.14,10.0.104.10,61679,8080,TCP,2,31,f6039933,2026-04-11T17:01:38.827,10,37,1.949,72.12,0.00001007,1.361,5784,small
37.95,10.0.103.8,10.0.100.1,62314,5001,TCP,3,27,35ffbc32,2026-04-11T17:01:38.950,10,37,1.837,72.6,0.000009508,1.721,1277,small
38.048,10.0.104.9,10.0.102.5,51305,8443,TCP,1,31,8dece360,2026-04-11T17:01:39.048,10,38,1.874,73.13,0.000009397,1.854,6498,small
38.294,10.0.100.2,10.0.102.5,54979,5001,TCP,2,24,b7141260,2026-04-11T17:01:39.294,10,38,1.899,73.64,0.000010219,1.619,46863,small
39.1,10.0.105.12,10.0.104.10,63380,5002,TCP,1,28,51b8b421,2026-04-11T17:01:40.100,10,39,1.94,74.17,0.000009897,1.784,4668,small
39.239,10.0.106.13,10.0.106.14,56852,5001,TCP,0,28,d2580b19,2026-04-11T17:01:40.239,10,39,1.928,74.69,0.000009491,1.583,7370,small
39.449,10.0.106.13,10.0.104.9,50251,5003,TCP,1,15,48f79b3f,2026-04-11T17:01:40.449,10,39,1.874,75.15,0.000009288,1.248,93210,small
40.017,10.0.100.2,10.0.106.13,57580,5003,TCP,3,26,6f41cd72,2026-04-11T17:01:41.017,10,40,1.973,75.68,0.000009692,1.427,8984,small
40.084,10.0.105.12,10.0.100.2,54989,5002,TCP,0,27,e70d72c4,2026-04-11T17:01:41.084,10,40,1.984,76.2,0.000010291,0.986,11897,small
40.217,10.0.100.1,10.0.106.13,64845,5002,TCP,0,31,140799ac,2026-04-11T17:01:41.217,10,40,1.903,76.72,0.000009961,1.217,10123,small
40.458,10.0.101.3,10.0.106.13,51948,5002,TCP,0,30,9142043c,2026-04-11T17:01:41.458,10,40,1.906,77.22,0.00000994,1.364,4357,small
40.628,10.0.106.14,10.0.105.12,58504,5003,TCP,6,27,67e4dcfc,2026-04-11T17:01:41.628,10,40,1.853,77.71,0.000010347,1.266,5240,small
40.683,10.0.101.4,10.0.105.12,60452,5001,TCP,0,16,e73e8f52,2026-04-11T17:01:41.683,10,40,1.972,78.27,0.000010224,1.377,21011,small
41.26,10.0.104.9,10.0.106.13,52543,8080,TCP,4,23,b7e6c834,2026-04-11T17:01:42.260,10,41,1.921,78.8,0.000010045,1.344,1321,small
41.72,10.0.103.8,224.0.0.1,0,0,OTHER,0,2,f4c14cd2,2026-04-11T17:01:42.720,10,41,2.026,79.31,0.000009812,,,
41.723,10.0.104.10,10.0.101.3,53415,5002,TCP,2,20,49334fb2,2026-04-11T17:01:42.723,10,41,1.923,79.82,0.000009262,1.385,538866,medium
42.132,10.0.105.11,224.0.0.1,0,0,OTHER,1,0,33a435ee,2026-04-11T17:01:43.132,10,42,1.951,80.35,0.000009663,,,
42.53,10.0.101.4,224.0.0.1,0,0,OTHER,1,1,38dc0d27,2026-04-11T17:01:43.530,10,42,1.914,80.83,0.000009321,,,
42.647,10.0.100.2,10.0.102.6,58149,8443,TCP,0,17,eb7ff27f,2026-04-11T17:01:43.647,10,42,1.96,81.38,0.000009452,0.98,29609,small
42.861,10.0.106.13,10.0.104.9,65376,8080,TCP,2,30,a38557d6,2026-04-11T17:01:43.861,10,42,1.884,81.88,0.000010076,5.89,20709919,large
42.886,10.0.103.8,10.0.101.4,53455,5001,TCP,1,27,15c8bac8,2026-04-11T17:01:43.886,10,42,1.958,82.42,0.000009274,1.181,28432,small
43.219,10.0.107.15,224.0.0.1,0,0,OTHER,0,2,bf41fc47,2026-04-11T17:01:44.219,10,43,2.025,83,0.000009565,,,
43.542,10.0.104.10,224.0.0.1,0,0,OTHER,1,3,06efb7ce,2026-04-11T17:01:44.542,10,43,1.852,83.5,0.000009356,,,
43.595,10.0.101.4,224.0.0.1,0,0,OTHER,2,5,38dc0d27,2026-04-11T17:01:44.595,10,43,1.86,83.97,0.000009581,,,
44.137,10.0.107.15,224.0.0.1,0,0,OTHER,0,3,bf41fc47,2026-04-11T17:01:45.137,10,44,1.948,84.45,0.000010023,,,
44.486,10.0.100.1,10.0.103.8,63224,8443,TCP,1,34,fb8081d0,2026-04-11T17:01:45.486,10,44,2.069,84.99,0.000009824,1.203,3258,small
44.699,10.0.103.7,224.0.0.1,0,0,OTHER,0,0,e018ff0c,2026-04-11T17:01:45.699,10,44,1.982,85.55,0.000010202,,,
44.895,10.0.100.1,10.0.107.15,56058,5003,TCP,1,20,30c64add,2026-04-11T17:01:45.895,10,44,1.875,86.07,0.000010292,2.448,1309654,medium
45.242,10.0.103.8,10.0.107.15,52904,5001,TCP,0,25,e50c3e3f,2026-04-11T17:01:46.242,10,45,1.921,86.57,0.000009336,1.491,9925,small
